document,method,path,status,mcp_family,capability,rule
app-connections/octopus-deploy/get-by-id.mdx,GET,/api/v1/app-connections/octopus-deploy/{connectionId},superseded,appConnections,appConnections.read,app-connections-provider-id-read-superseded
app-connections/octopus-deploy/get-by-name.mdx,GET,/api/v1/app-connections/octopus-deploy/connection-name/{connectionName},superseded,appConnections,appConnections.read,app-connections-provider-name-read-superseded
app-connections/octopus-deploy/list.mdx,GET,/api/v1/app-connections/octopus-deploy,superseded,appConnections,appConnections.read,app-connections-provider-list-superseded
app-connections/octopus-deploy/update.mdx,PATCH,/api/v1/app-connections/octopus-deploy/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/okta/available.mdx,GET,/api/v1/app-connections/okta/available,superseded,appConnections,appConnections.read,app-connections-provider-availability-superseded
app-connections/okta/create.mdx,POST,/api/v1/app-connections/okta,intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/okta/delete.mdx,DELETE,/api/v1/app-connections/okta/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/okta/get-by-id.mdx,GET,/api/v1/app-connections/okta/{connectionId},superseded,appConnections,appConnections.read,app-connections-provider-id-read-superseded
app-connections/okta/get-by-name.mdx,GET,/api/v1/app-connections/okta/connection-name/{connectionName},superseded,appConnections,appConnections.read,app-connections-provider-name-read-superseded
app-connections/okta/list.mdx,GET,/api/v1/app-connections/okta,superseded,appConnections,appConnections.read,app-connections-provider-list-superseded
app-connections/okta/update.mdx,PATCH,/api/v1/app-connections/okta/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/openrouter/available.mdx,GET,/api/v1/app-connections/open-router/available,superseded,appConnections,appConnections.read,app-connections-provider-availability-superseded
app-connections/openrouter/create.mdx,POST,/api/v1/app-connections/open-router,intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
